input_len,n_hidden,network,learning_rate,epochs,sigma,noise_type,mse_error
10,5,lstm,0.01,500,0.1,iid,0.011091910539459694
10,5,lstm,0.01,500,0.1,wiener,0.03988593101112669
10,5,lstm,0.1,10,0,iid,7.703492433168028e-05
10,5,lstm,0.1,10,0,wiener,7.027656631181578e-05
10,5,lstm,0.1,10,0.01,iid,0.00026924741800060355
10,5,lstm,0.1,10,0.01,wiener,0.0026797133540388636
10,5,lstm,0.1,10,0.1,iid,0.019944369724044102
10,5,lstm,0.1,10,0.1,wiener,4.299953068578707
10,5,lstm,0.1,100,0,iid,2.070196241047056e-05
10,5,lstm,0.1,100,0,wiener,0.00014227788898099126
10,5,lstm,0.1,100,0.01,iid,0.0004474964810737273
10,5,lstm,0.1,100,0.01,wiener,0.00017481026414382326
10,5,lstm,0.1,100,0.1,iid,0.013171235798261415
10,5,lstm,0.1,100,0.1,wiener,25.500165141598938
10,5,lstm,0.1,500,0,iid,4.674690215814315e-06
10,5,lstm,0.1,500,0,wiener,7.563957876749e-06
10,5,lstm,0.1,500,0.01,iid,0.00031277136620391647
10,5,lstm,0.1,500,0.01,wiener,0.00035269376024221245
10,5,lstm,0.1,500,0.1,iid,0.013945502069795574
10,5,lstm,0.1,500,0.1,wiener,5.448221980639728
10,5,cnn,0.001,10,0,iid,0.000900715063505219
10,5,cnn,0.001,10,0,wiener,0.00112563766259735
10,5,cnn,0.001,10,0.01,iid,0.003973355641967076
10,5,cnn,0.001,10,0.01,wiener,0.00464112123729858
10,5,cnn,0.001,10,0.1,iid,0.015596424706312293
10,5,cnn,0.001,10,0.1,wiener,0.031556786799708525
10,5,cnn,0.001,100,0,iid,0.0004369514170023442
10,5,cnn,0.001,100,0,wiener,0.00036547466216829607
10,5,cnn,0.001,100,0.01,iid,0.0002746672748972842
10,5,cnn,0.001,100,0.01,wiener,0.00032002619294918614
10,5,cnn,0.001,100,0.1,iid,0.012241811985342752
10,5,cnn,0.001,100,0.1,wiener,0.016457148331428546
